TypeArea,CityType,CircleRate,City
Urban,Nawabganj,8966,Prayagraj
Urban,Soraon,8811,Prayagraj
SemiUrban,Soraon,6452,Prayagraj
SemiUrban,Nawabganj,5827,Prayagraj
Rural,Soraon,5307,Prayagraj
Rural,Nawabganj,5131,Prayagraj
Urban,Phaphamau,20787,Prayagraj
Urban,MauAima,15941,Prayagraj
Urban,LalGopalGanj,16500,Prayagraj
Urban,Malak Harhar,16250,Prayagraj
SemiUrban,Kaudhihar,13666,Prayagraj
SemiUrban,Shivgadh,13375,Prayagraj
SemiUrban,Mansurabad,13900,Prayagraj
SemiUrban,Tharwai,13100,Prayagraj
SemiUrban,Atrampur,14812,Prayagraj
SemiUrban,Holagadh,10250,Prayagraj
SemiUrban,Dahiyavan,12125,Prayagraj
Rural,Pithipur,10750,Prayagraj
SemiUrban,Ismailganj,11000,Prayagraj
